Team Id,Mission Time,Packet Count,Altitude,Pressure,Temperature,Voltage,GPS Time,GPS Latitude,GPS Longtitude,Speed,GPS Satellites,Humidity
0,0,0,0.0,90000.0,5.0,0.0,21.07.2018.02:30:12,0.0,0.0,0.0,0,0.0
5523,672,188,323.1,104440.8,38.8,3.2,8.6.2018.0:37:9,41.9259,48.7485,9.0,17,85.7
2332,272,689,67.8,107633.1,45.0,9.1,3.10.2018.3:16:47,40.8213,47.45,3.7,19,65.1
6224,957,827,330.4,105722.7,45.8,5.1,28.9.2018.2:53:48,41.6756,48.7281,3.0,6,98.2
8661,583,738,101.2,100195.6,25.0,6.3,24.9.2018.11:40:26,40.6151,47.1272,7.2,5,53.2
3775,55,450,294.3,99609.2,41.6,3.5,23.9.2018.18:7:48,41.8309,47.6808,3.7,2,85.6
7609,52,247,252.1,109821.0,33.6,5.8,22.2.2018.14:22:31,40.1484,48.1583,8.6,10,18.3
2389,673,716,105.6,100123.2,34.8,6.1,1.8.2018.1:19:49,40.9358,47.3802,0.0,18,48.6
9793,496,206,339.2,99385.1,31.4,4.5,9.7.2018.21:58:39,40.2005,48.3954,5.8,14,71.6
2856,259,878,269.1,109553.4,21.8,2.3,19.5.2018.12:50:20,40.456,47.2015,4.0,3,81.7
